id,name,type,quantifiableUnit,quantityValue,serviceProvider,owner,emissionInformation.description,emissionInformation.scope1.stationaryCombustion,emissionInformation.scope1.mobileCombustion,emissionInformation.scope1.fugitiveEmissions,emissionInformation.scope1.processEmissions,emissionInformation.scope2.purchasedElectricity,emissionInformation.scope2.purchasedSteam,emissionInformation.scope2.purchasedHeating,emissionInformation.scope2.purchasedCooling,emissionInformation.scope3.category1,emissionInformation.scope3.category2,emissionInformation.scope3.category3,emissionInformation.scope3.category4,emissionInformation.scope3.category5,emissionInformation.scope3.category6,emissionInformation.scope3.category7,emissionInformation.scope3.category8,emissionInformation.scope3.category9,emissionInformation.scope3.category10,emissionInformation.scope3.category11,emissionInformation.scope3.category12,emissionInformation.scope3.category13,emissionInformation.scope3.category14,emissionInformation.scope3.category15,dpp.name,dpp.manufacturer,dpp.serialNumber,dpp.batchNumber,dpp.carbonFootprint.scope1,dpp.carbonFootprint.scope2,dpp.carbonFootprint.scope3
processes/11,precipitation,water_treatment,liter,4.82,production company,facility operator,GHG,{N2O={kg=0.775}},{N2O={kg=0.525}},{N2O={kg=0.295}},{CO2={kg=0.901}},{HFC134a={kg=0.292}},{HFC134a={kg=0.391}},{HFC134a={kg=0.324}},{HFC134a={kg=0.465}},{N2O={kg=0.792}},{HFC134a={kg=0.318}},{CH4={kg=0.343}},{HFC134a={kg=0.204}},{N2O={kg=0.014}},{N2O={kg=0.415}},{CO2={m3=0.869}},{CO2={m3=1.554}},{CH4={kg=1.017}},{SF6={kg=0.034}},{HFC134a={kg=0.447}},{HFC134a={kg=0.208}},{HFC134a={kg=0.178}},{N2O={kg=0.116}},{SF6={kg=0.007}},process run A,manufacturing facility,40010,50010,{kgCO2e=3.48},{kgCO2e=0.72},{kgCO2e=3.56}
processes/12,poaching,cooking,ton,4.24,treatment center,manufacturing co,GHG,{HFC134a={kg=0.146}},{CH4={kg=0.378}},{HFC134a={kg=0.282}},{CH4={kg=0.919}},{N2O={kg=0.294}},{CH4={kg=0.926}},{CO2={m3=1.311}},{SF6={kg=0.046}},{HFC134a={kg=0.415}},{HFC134a={kg=0.397}},{CH4={kg=0.154}},{SF6={kg=0.122}},{CO2={kg=2.405}},{HFC134a={kg=0.408}},{SF6={kg=0.088}},{SF6={kg=0.073}},{CH4={kg=0.829}},{N2O={kg=0.273}},{CH4={kg=1.337}},{HFC134a={kg=0.011}},{N2O={kg=0.662}},{CO2={m3=2.203}},{HFC134a={kg=0.271}},process run R,operator,40011,50011,{kgCO2e=4.52},{kgCO2e=0.29},{kgCO2e=2.7}
processes/13,annealing,manufacturing,cycle,2.9,process plant,company A,GHG,{CH4={kg=0.905}},{SF6={kg=0.104}},{CO2={kg=1.079}},{HFC134a={kg=0.177}},{CO2={kg=0.305}},{HFC134a={kg=0.359}},{CO2={m3=1.364}},{CO2={m3=0.767}},{SF6={kg=0.107}},{SF6={kg=0.184}},{SF6={kg=0.082}},{CO2={kg=1.957}},{SF6={kg=0.036}},{SF6={kg=0.051}},{N2O={kg=0.729}},{HFC134a={kg=0.085}},{CO2={m3=0.59}},{N2O={kg=0.133}},{CH4={kg=1.216}},{CH4={kg=0.214}},{N2O={kg=0.476}},{SF6={kg=0.16}},{CH4={kg=0.931}},batch process F,process plant,40012,50012,{kgCO2e=2.26},{kgCO2e=0.4},{kgCO2e=3.14}
processes/14,harvesting,agriculture,m3,1.31,processing company,company A,GHG,{CO2={m3=0.389}},{CO2={m3=2.772}},{N2O={kg=0.056}},{CH4={kg=0.339}},{CH4={kg=0.407}},{CO2={m3=0.973}},{HFC134a={kg=0.256}},{CH4={kg=0.279}},{N2O={kg=0.763}},{HFC134a={kg=0.416}},{N2O={kg=0.49}},{N2O={kg=0.634}},{N2O={kg=0.072}},{N2O={kg=0.49}},{N2O={kg=0.116}},{CO2={kg=1.98}},{N2O={kg=0.447}},{SF6={kg=0.129}},{HFC134a={kg=0.249}},{HFC134a={kg=0.187}},{CO2={m3=1.963}},{HFC134a={kg=0.147}},{CO2={m3=1.542}},production cycle E,manufacturing facility,40013,50013,{kgCO2e=1.22},{kgCO2e=2.94},{kgCO2e=1.32}
processes/15,carton_forming,packaging,unit,0.87,production company,facility operator,GHG,{CH4={kg=0.995}},{CH4={kg=1.085}},{CO2={kg=2.147}},{CO2={m3=2.776}},{CO2={kg=1.898}},{HFC134a={kg=0.344}},{HFC134a={kg=0.482}},{CH4={kg=0.643}},{CO2={kg=2.915}},{N2O={kg=0.125}},{CH4={kg=0.474}},{N2O={kg=0.292}},{HFC134a={kg=0.308}},{SF6={kg=0.011}},{HFC134a={kg=0.22}},{CO2={kg=2.208}},{HFC134a={kg=0.031}},{N2O={kg=0.72}},{CH4={kg=1.173}},{N2O={kg=0.4}},{CO2={m3=1.963}},{HFC134a={kg=0.246}},{HFC134a={kg=0.131}},production cycle T,facility co,40014,50014,{kgCO2e=3.17},{kgCO2e=0.94},{kgCO2e=2.0}
processes/16,wrapping,packaging,cycle,4.74,treatment center,company A,GHG,{CO2={kg=2.096}},{CO2={kg=1.755}},{HFC134a={kg=0.263}},{N2O={kg=0.117}},{SF6={kg=0.068}},{CH4={kg=1.094}},{CH4={kg=0.571}},{CO2={m3=0.178}},{HFC134a={kg=0.2}},{CH4={kg=0.404}},{HFC134a={kg=0.428}},{N2O={kg=0.114}},{HFC134a={kg=0.374}},{SF6={kg=0.034}},{HFC134a={kg=0.261}},{CO2={kg=0.325}},{SF6={kg=0.132}},{SF6={kg=0.048}},{CO2={m3=2.173}},{N2O={kg=0.524}},{SF6={kg=0.007}},{HFC134a={kg=0.167}},{CO2={kg=2.588}},unit operation S,manufacturing facility,40015,50015,{kgCO2e=3.4},{kgCO2e=1.75},{kgCO2e=2.61}
processes/17,pruning,agriculture,ton,3.11,process plant,facility operator,GHG,{HFC134a={kg=0.496}},{CO2={kg=2.286}},{SF6={kg=0.115}},{HFC134a={kg=0.035}},{SF6={kg=0.163}},{SF6={kg=0.163}},{CH4={kg=0.644}},{CO2={m3=2.695}},{SF6={kg=0.101}},{SF6={kg=0.122}},{N2O={kg=0.026}},{CO2={m3=2.88}},{SF6={kg=0.047}},{CH4={kg=0.51}},{SF6={kg=0.025}},{CO2={m3=1.351}},{CO2={m3=2.26}},{HFC134a={kg=0.291}},{SF6={kg=0.144}},{CO2={kg=1.344}},{HFC134a={kg=0.094}},{CH4={kg=0.907}},{SF6={kg=0.083}},unit operation B,process plant,40016,50016,{kgCO2e=2.11},{kgCO2e=1.81},{kgCO2e=1.67}
processes/18,loading,transportation,kg,2.85,recycling facility,company B,GHG,{CO2={kg=0.816}},{CH4={kg=0.173}},{N2O={kg=0.083}},{CH4={kg=1.481}},{N2O={kg=0.232}},{N2O={kg=0.574}},{CH4={kg=0.421}},{CO2={kg=2.45}},{CO2={m3=2.419}},{N2O={kg=0.172}},{N2O={kg=0.34}},{SF6={kg=0.16}},{SF6={kg=0.086}},{SF6={kg=0.122}},{HFC134a={kg=0.27}},{N2O={kg=0.374}},{CH4={kg=1.488}},{CO2={m3=2.732}},{SF6={kg=0.049}},{SF6={kg=0.194}},{N2O={kg=0.27}},{CH4={kg=0.382}},{N2O={kg=0.01}},batch process J,facility co,40017,50017,{kgCO2e=4.88},{kgCO2e=0.61},{kgCO2e=2.7}
processes/19,biological treatment,waste_treatment,hour,2.89,treatment center,company A,GHG,{HFC134a={kg=0.224}},{CH4={kg=1.024}},{CH4={kg=1.013}},{SF6={kg=0.029}},{HFC134a={kg=0.157}},{SF6={kg=0.113}},{N2O={kg=0.541}},{CH4={kg=0.064}},{SF6={kg=0.037}},{N2O={kg=0.43}},{CO2={m3=1.682}},{HFC134a={kg=0.329}},{SF6={kg=0.086}},{N2O={kg=0.282}},{CO2={kg=2.497}},{SF6={kg=0.027}},{HFC134a={kg=0.255}},{CO2={kg=2.216}},{CH4={kg=1.014}},{SF6={kg=0.013}},{CH4={kg=0.632}},{CH4={kg=1.385}},{HFC134a={kg=0.053}},batch process U,process plant,40018,50018,{kgCO2e=3.18},{kgCO2e=1.09},{kgCO2e=2.37}
processes/20,clarifying,food_processing,m3,2.86,manufacturing facility,service operator,GHG,{SF6={kg=0.158}},{SF6={kg=0.111}},{CO2={kg=2.422}},{HFC134a={kg=0.451}},{CH4={kg=1.07}},{HFC134a={kg=0.067}},{N2O={kg=0.7}},{CH4={kg=0.939}},{CH4={kg=0.602}},{N2O={kg=0.403}},{SF6={kg=0.135}},{SF6={kg=0.169}},{N2O={kg=0.24}},{HFC134a={kg=0.382}},{SF6={kg=0.042}},{SF6={kg=0.173}},{CO2={m3=1.691}},{N2O={kg=0.597}},{SF6={kg=0.106}},{HFC134a={kg=0.391}},{CO2={m3=1.057}},{CH4={kg=0.013}},{SF6={kg=0.062}},batch process J,facility co,40019,50019,{kgCO2e=3.4},{kgCO2e=1.49},{kgCO2e=2.69}
processes/21,filtering,food_processing,batch,0.74,service provider A,company B,GHG,{SF6={kg=0.001}},{CO2={m3=1.05}},{N2O={kg=0.483}},{CO2={m3=2.738}},{CH4={kg=1.455}},{HFC134a={kg=0.224}},{HFC134a={kg=0.147}},{HFC134a={kg=0.387}},{CO2={m3=2.721}},{CO2={kg=0.553}},{HFC134a={kg=0.189}},{CH4={kg=0.117}},{N2O={kg=0.474}},{N2O={kg=0.596}},{HFC134a={kg=0.371}},{HFC134a={kg=0.432}},{SF6={kg=0.199}},{HFC134a={kg=0.486}},{N2O={kg=0.041}},{N2O={kg=0.455}},{CO2={kg=1.181}},{CO2={kg=1.571}},{CH4={kg=0.068}},batch process U,operator,40020,50020,{kgCO2e=3.32},{kgCO2e=1.36},{kgCO2e=1.83}
processes/22,boiling,cooking,kg,3.61,processing company,company B,GHG,{N2O={kg=0.092}},{SF6={kg=0.008}},{CH4={kg=0.786}},{SF6={kg=0.17}},{CO2={m3=2.46}},{CO2={m3=0.71}},{CO2={kg=2.93}},{HFC134a={kg=0.188}},{N2O={kg=0.26}},{SF6={kg=0.115}},{HFC134a={kg=0.461}},{CO2={kg=2.622}},{CO2={m3=1.189}},{HFC134a={kg=0.2}},{HFC134a={kg=0.126}},{CO2={kg=1.072}},{N2O={kg=0.246}},{N2O={kg=0.12}},{SF6={kg=0.128}},{HFC134a={kg=0.054}},{N2O={kg=0.567}},{CO2={m3=1.393}},{CH4={kg=1.359}},production cycle I,operator,40021,50021,{kgCO2e=2.07},{kgCO2e=2.47},{kgCO2e=1.03}
processes/23,physical separation,waste_treatment,hour,2.59,recycling facility,service operator,GHG,{CH4={kg=0.852}},{CH4={kg=0.006}},{HFC134a={kg=0.452}},{HFC134a={kg=0.218}},{N2O={kg=0.648}},{CH4={kg=0.685}},{N2O={kg=0.396}},{SF6={kg=0.118}},{SF6={kg=0.096}},{CH4={kg=1.1}},{SF6={kg=0.173}},{CH4={kg=0.713}},{SF6={kg=0.198}},{HFC134a={kg=0.123}},{CO2={m3=0.868}},{HFC134a={kg=0.174}},{CO2={m3=0.402}},{N2O={kg=0.096}},{HFC134a={kg=0.305}},{N2O={kg=0.062}},{CO2={m3=0.686}},{N2O={kg=0.443}},{SF6={kg=0.145}},unit operation V,process plant,40022,50022,{kgCO2e=4.38},{kgCO2e=1.14},{kgCO2e=1.94}
processes/24,compression,energy,cycle,4.0,process plant,facility operator,GHG,{N2O={kg=0.451}},{SF6={kg=0.092}},{HFC134a={kg=0.3}},{N2O={kg=0.478}},{CH4={kg=1.272}},{N2O={kg=0.723}},{CH4={kg=0.844}},{CO2={kg=0.203}},{N2O={kg=0.068}},{N2O={kg=0.784}},{HFC134a={kg=0.1}},{HFC134a={kg=0.27}},{CO2={kg=1.142}},{CO2={kg=1.668}},{SF6={kg=0.084}},{CO2={kg=2.792}},{HFC134a={kg=0.425}},{CO2={m3=0.051}},{N2O={kg=0.459}},{SF6={kg=0.172}},{SF6={kg=0.07}},{HFC134a={kg=0.113}},{N2O={kg=0.588}},cycle operation P,manufacturing facility,40023,50023,{kgCO2e=2.1},{kgCO2e=2.18},{kgCO2e=0.44}
processes/25,drying,manufacturing,liter,4.87,service provider A,company A,GHG,{HFC134a={kg=0.447}},{CO2={kg=1.864}},{SF6={kg=0.161}},{CH4={kg=1.087}},{CH4={kg=1.122}},{CH4={kg=0.763}},{CH4={kg=0.226}},{N2O={kg=0.547}},{N2O={kg=0.748}},{N2O={kg=0.224}},{SF6={kg=0.178}},{CO2={m3=2.543}},{CO2={kg=1.138}},{HFC134a={kg=0.211}},{CH4={kg=1.435}},{SF6={kg=0.026}},{N2O={kg=0.069}},{CH4={kg=1.077}},{CO2={kg=1.121}},{HFC134a={kg=0.118}},{N2O={kg=0.059}},{N2O={kg=0.518}},{SF6={kg=0.119}},cycle operation I,facility co,40024,50024,{kgCO2e=3.46},{kgCO2e=1.64},{kgCO2e=1.41}
processes/26,compression,energy,liter,3.01,production company,service operator,GHG,{HFC134a={kg=0.386}},{SF6={kg=0.109}},{CH4={kg=1.204}},{N2O={kg=0.237}},{SF6={kg=0.044}},{HFC134a={kg=0.429}},{N2O={kg=0.022}},{HFC134a={kg=0.163}},{HFC134a={kg=0.018}},{CO2={kg=2.578}},{CO2={kg=0.85}},{CH4={kg=1.428}},{HFC134a={kg=0.015}},{HFC134a={kg=0.21}},{SF6={kg=0.017}},{SF6={kg=0.157}},{HFC134a={kg=0.138}},{CO2={m3=1.631}},{N2O={kg=0.073}},{CO2={kg=2.636}},{SF6={kg=0.019}},{CO2={kg=0.235}},{SF6={kg=0.144}},process run Q,operator,40025,50025,{kgCO2e=3.24},{kgCO2e=1.57},{kgCO2e=1.56}
processes/27,quality_control,food_processing,day,0.64,manufacturing facility,company B,GHG,{HFC134a={kg=0.086}},{CO2={m3=2.819}},{CH4={kg=1.134}},{HFC134a={kg=0.169}},{HFC134a={kg=0.393}},{N2O={kg=0.272}},{CH4={kg=0.626}},{SF6={kg=0.091}},{HFC134a={kg=0.404}},{N2O={kg=0.608}},{CO2={kg=0.578}},{CH4={kg=0.968}},{CH4={kg=1.325}},{SF6={kg=0.188}},{SF6={kg=0.182}},{CO2={kg=2.075}},{CH4={kg=1.139}},{CO2={kg=2.879}},{N2O={kg=0.112}},{SF6={kg=0.021}},{CO2={kg=1.986}},{N2O={kg=0.437}},{CO2={kg=0.442}},batch process Q,facility co,40026,50026,{kgCO2e=0.28},{kgCO2e=2.05},{kgCO2e=3.63}
processes/28,stewing,cooking,unit_processed,1.96,process plant,company A,GHG,{SF6={kg=0.064}},{CH4={kg=0.868}},{N2O={kg=0.207}},{HFC134a={kg=0.224}},{N2O={kg=0.126}},{N2O={kg=0.622}},{HFC134a={kg=0.394}},{N2O={kg=0.17}},{SF6={kg=0.179}},{CO2={kg=2.147}},{SF6={kg=0.179}},{CO2={m3=1.239}},{SF6={kg=0.088}},{CH4={kg=0.286}},{CO2={kg=1.983}},{CO2={m3=0.818}},{SF6={kg=0.175}},{HFC134a={kg=0.451}},{CH4={kg=0.681}},{CH4={kg=0.223}},{HFC134a={kg=0.019}},{CH4={kg=1.116}},{CH4={kg=0.142}},unit operation T,operator,40027,50027,{kgCO2e=3.37},{kgCO2e=0.18},{kgCO2e=0.34}
processes/29,stabilizing,food_processing,batch,4.67,production company,company B,GHG,{HFC134a={kg=0.097}},{HFC134a={kg=0.135}},{CH4={kg=0.22}},{HFC134a={kg=0.44}},{N2O={kg=0.023}},{CH4={kg=0.599}},{CO2={m3=2.962}},{HFC134a={kg=0.072}},{N2O={kg=0.291}},{N2O={kg=0.67}},{N2O={kg=0.303}},{HFC134a={kg=0.29}},{CO2={kg=1.294}},{CO2={m3=1.367}},{CH4={kg=1.285}},{N2O={kg=0.771}},{CH4={kg=0.729}},{N2O={kg=0.647}},{HFC134a={kg=0.12}},{CH4={kg=1.407}},{N2O={kg=0.207}},{CH4={kg=0.678}},{CO2={kg=1.875}},cycle operation C,process plant,40028,50028,{kgCO2e=4.48},{kgCO2e=1.15},{kgCO2e=0.38}
processes/30,shearing,metal,cycle,0.75,service provider A,facility operator,GHG,{CH4={kg=0.095}},{SF6={kg=0.152}},{N2O={kg=0.684}},{CO2={m3=2.183}},{CO2={kg=0.194}},{N2O={kg=0.528}},{N2O={kg=0.058}},{SF6={kg=0.174}},{CO2={m3=0.541}},{SF6={kg=0.066}},{CO2={m3=1.926}},{CO2={m3=2.86}},{SF6={kg=0.152}},{CO2={m3=2.068}},{N2O={kg=0.385}},{CH4={kg=0.541}},{N2O={kg=0.595}},{N2O={kg=0.09}},{HFC134a={kg=0.237}},{SF6={kg=0.058}},{CH4={kg=1.072}},{CO2={kg=2.086}},{SF6={kg=0.024}},batch process D,operator,40029,50029,{kgCO2e=0.15},{kgCO2e=2.9},{kgCO2e=2.51}
processes/31,blending,food_processing,ton,4.56,processing company,facility operator,GHG,{SF6={kg=0.18}},{HFC134a={kg=0.494}},{CO2={m3=0.055}},{HFC134a={kg=0.461}},{N2O={kg=0.641}},{CO2={kg=2.327}},{CH4={kg=0.594}},{CH4={kg=0.859}},{HFC134a={kg=0.026}},{CH4={kg=0.456}},{HFC134a={kg=0.477}},{N2O={kg=0.797}},{CH4={kg=0.397}},{CO2={m3=0.055}},{SF6={kg=0.151}},{CO2={m3=0.453}},{CH4={kg=0.347}},{SF6={kg=0.049}},{CH4={kg=0.449}},{CH4={kg=0.241}},{CO2={m3=1.523}},{HFC134a={kg=0.431}},{HFC134a={kg=0.46}},cycle operation O,manufacturing facility,40030,50030,{kgCO2e=2.02},{kgCO2e=0.56},{kgCO2e=0.71}
processes/32,grading,agriculture,ton,4.73,recycling facility,manufacturing co,GHG,{HFC134a={kg=0.411}},{N2O={kg=0.075}},{CO2={m3=0.54}},{SF6={kg=0.072}},{CH4={kg=0.028}},{SF6={kg=0.023}},{HFC134a={kg=0.318}},{CO2={m3=0.017}},{SF6={kg=0.032}},{N2O={kg=0.007}},{SF6={kg=0.197}},{CH4={kg=0.873}},{CO2={kg=2.943}},{CO2={m3=1.688}},{N2O={kg=0.797}},{SF6={kg=0.037}},{SF6={kg=0.037}},{HFC134a={kg=0.084}},{N2O={kg=0.76}},{N2O={kg=0.307}},{CO2={kg=0.574}},{CO2={kg=0.478}},{HFC134a={kg=0.015}},cycle operation J,operator,40031,50031,{kgCO2e=0.92},{kgCO2e=1.16},{kgCO2e=0.52}
