id,name,type,quantifiableUnit,quantityValue,productOrigin,owner,uploadedFile,emissionInformation.description,emissionInformation.scope1.stationaryCombustion,emissionInformation.scope1.mobileCombustion,emissionInformation.scope1.fugitiveEmissions,emissionInformation.scope1.processEmissions,emissionInformation.scope2.purchasedElectricity,emissionInformation.scope2.purchasedSteam,emissionInformation.scope2.purchasedHeating,emissionInformation.scope2.purchasedCooling,emissionInformation.scope3.category1,emissionInformation.scope3.category2,emissionInformation.scope3.category3,emissionInformation.scope3.category4,emissionInformation.scope3.category5,emissionInformation.scope3.category6,emissionInformation.scope3.category7,emissionInformation.scope3.category8,emissionInformation.scope3.category9,emissionInformation.scope3.category10,emissionInformation.scope3.category11,emissionInformation.scope3.category12,emissionInformation.scope3.category13,emissionInformation.scope3.category14,emissionInformation.scope3.category15,dpp.name,dpp.manufacturer,dpp.serialNumber,dpp.batchNumber,dpp.carbonFootprint.scope1,dpp.carbonFootprint.scope2,dpp.carbonFootprint.scope3
products/11,onions,ingredient,kg,0.2,supplier,,,GHG,{CO2={kg=0.15}},{CH4={kg=0.06}},{N2O={kg=0.03}},{CO2={kg=0.1}},{CO2={kg=0.12}},{HFC134a={kg=0.015}},{CO2={kg=0.06}},{CO2={kg=0.05}},{CO2={kg=0.11}},{CH4={kg=0.07}},{N2O={kg=0.04}},{CO2={kg=0.09}},{CO2={kg=0.065}},{SF6={kg=0.01}},{CO2={kg=0.085}},{CH4={kg=0.06}},{N2O={kg=0.035}},{CO2={kg=0.08}},{CO2={kg=0.09}},{CO2={kg=0.08}},{CO2={kg=0.07}},{CO2={kg=0.06}},{CO2={kg=0.05}},onion lot I,supplier co,20009,30009,{kgCO2e=0.4},{kgCO2e=0.3},{kgCO2e=0.35}
products/12,clean water,ingredient,kg,1.0,supplier,,,GHG,{CO2={kg=0.02}},{CH4={kg=0.01}},{N2O={kg=0.005}},{CO2={kg=0.015}},{CO2={kg=0.02}},{HFC134a={kg=0.002}},{CO2={kg=0.01}},{CO2={kg=0.008}},{CO2={kg=0.02}},{CH4={kg=0.01}},{N2O={kg=0.005}},{CO2={kg=0.015}},{CO2={kg=0.01}},{SF6={kg=0.001}},{CO2={kg=0.014}},{CH4={kg=0.008}},{N2O={kg=0.004}},{CO2={kg=0.012}},{CO2={kg=0.014}},{CO2={kg=0.012}},{CO2={kg=0.01}},{CO2={kg=0.009}},{CO2={kg=0.008}},water supply,user utility,20013,30013,{kgCO2e=0.08},{kgCO2e=0.06},{kgCO2e=0.07}
products/13,waste water,waste,kg,1.0,user,,,GHG,{CH4={kg=0.6}},{N2O={kg=0.3}},{CO2={kg=0.2}},{CO2={kg=0.25}},{CO2={kg=0.15}},{HFC134a={kg=0.05}},{CO2={kg=0.12}},{CO2={kg=0.1}},{CO2={kg=0.35}},{CH4={kg=0.25}},{N2O={kg=0.18}},{CO2={kg=0.3}},{CO2={kg=0.22}},{SF6={kg=0.04}},{CO2={kg=0.28}},{CH4={kg=0.2}},{N2O={kg=0.15}},{CO2={kg=0.24}},{CO2={kg=0.26}},{CO2={kg=0.22}},{CO2={kg=0.18}},{CO2={kg=0.15}},{CO2={kg=0.12}},waste treatment,user utility,20014,30014,{kgCO2e=1.3},{kgCO2e=0.9},{kgCO2e=1.2}
products/14,cheese,ingredient,kg,1.0,user,,,GHG,{CH4={kg=0.6}},{N2O={kg=0.3}},{CO2={kg=0.2}},{CO2={kg=0.25}},{CO2={kg=0.15}},{HFC134a={kg=0.05}},{CO2={kg=0.12}},{CO2={kg=0.1}},{CO2={kg=0.35}},{CH4={kg=0.25}},{N2O={kg=0.18}},{CO2={kg=0.3}},{CO2={kg=0.22}},{SF6={kg=0.04}},{CO2={kg=0.28}},{CH4={kg=0.2}},{N2O={kg=0.15}},{CO2={kg=0.24}},{CO2={kg=0.26}},{CO2={kg=0.22}},{CO2={kg=0.18}},{CO2={kg=0.15}},{CO2={kg=0.12}},waste treatment,user utility,20014,30014,{kgCO2e=1.3},{kgCO2e=0.9},{kgCO2e=1.2}
products/15,tomato paste,ingredient,kg,1.0,user,,,GHG,{CH4={kg=0.6}},{N2O={kg=0.3}},{CO2={kg=0.2}},{CO2={kg=0.25}},{CO2={kg=0.15}},{HFC134a={kg=0.05}},{CO2={kg=0.12}},{CO2={kg=0.1}},{CO2={kg=0.35}},{CH4={kg=0.25}},{N2O={kg=0.18}},{CO2={kg=0.3}},{CO2={kg=0.22}},{SF6={kg=0.04}},{CO2={kg=0.28}},{CH4={kg=0.2}},{N2O={kg=0.15}},{CO2={kg=0.24}},{CO2={kg=0.26}},{CO2={kg=0.22}},{CO2={kg=0.18}},{CO2={kg=0.15}},{CO2={kg=0.12}},waste treatment,user utility,20014,30014,{kgCO2e=1.3},{kgCO2e=0.9},{kgCO2e=1.2}
products/16,olive oil,ingredient,kg,1.0,user,,,GHG,{CH4={kg=0.6}},{N2O={kg=0.3}},{CO2={kg=0.2}},{CO2={kg=0.25}},{CO2={kg=0.15}},{HFC134a={kg=0.05}},{CO2={kg=0.12}},{CO2={kg=0.1}},{CO2={kg=0.35}},{CH4={kg=0.25}},{N2O={kg=0.18}},{CO2={kg=0.3}},{CO2={kg=0.22}},{SF6={kg=0.04}},{CO2={kg=0.28}},{CH4={kg=0.2}},{N2O={kg=0.15}},{CO2={kg=0.24}},{CO2={kg=0.26}},{CO2={kg=0.22}},{CO2={kg=0.18}},{CO2={kg=0.15}},{CO2={kg=0.12}},waste treatment,user utility,20014,30014,{kgCO2e=1.3},{kgCO2e=0.9},{kgCO2e=1.2}
products/17,paneer tikka,waste,m3,0.86,supplier,supplier co,,GHG,{HFC134a={kg=0.291}},{SF6={kg=0.104}},{SF6={kg=0.166}},{CH4={kg=0.735}},{HFC134a={kg=0.007}},{HFC134a={kg=0.066}},{CO2={kg=1.641}},{N2O={kg=0.474}},{SF6={kg=0.151}},{N2O={kg=0.281}},{N2O={kg=0.179}},{N2O={kg=0.29}},{N2O={kg=0.51}},{CO2={kg=2.432}},{HFC134a={kg=0.412}},{HFC134a={kg=0.014}},{CO2={kg=1.696}},{HFC134a={kg=0.248}},{CO2={kg=0.459}},{CH4={kg=0.443}},{SF6={kg=0.002}},{SF6={kg=0.016}},{SF6={kg=0.087}},finished goods K,processing plant,20016,30016,{kgCO2e=4.4},{kgCO2e=0.94},{kgCO2e=2.19}
products/18,rye,ingredient,bottle,0.02,warehouse,company B,,GHG,{CH4={kg=0.244}},{CO2={kg=0.238}},{CO2={m3=2.463}},{CH4={kg=0.545}},{HFC134a={kg=0.47}},{CH4={kg=0.85}},{HFC134a={kg=0.31}},{CO2={m3=2.473}},{SF6={kg=0.104}},{CO2={kg=1.153}},{HFC134a={kg=0.404}},{CO2={m3=0.44}},{CO2={m3=1.515}},{HFC134a={kg=0.332}},{CH4={kg=1.421}},{HFC134a={kg=0.319}},{SF6={kg=0.156}},{SF6={kg=0.145}},{SF6={kg=0.186}},{SF6={kg=0.172}},{N2O={kg=0.579}},{CO2={kg=0.863}},{N2O={kg=0.226}},finished goods W,factory X,20017,30017,{kgCO2e=3.76},{kgCO2e=1.0},{kgCO2e=3.33}
products/19,biogas,condiment,bottle,0.17,supplier,company A,,GHG,{CH4={kg=0.223}},{N2O={kg=0.213}},{CO2={m3=0.184}},{N2O={kg=0.741}},{HFC134a={kg=0.196}},{N2O={kg=0.621}},{SF6={kg=0.147}},{HFC134a={kg=0.069}},{HFC134a={kg=0.182}},{HFC134a={kg=0.349}},{CH4={kg=1.287}},{N2O={kg=0.157}},{HFC134a={kg=0.121}},{N2O={kg=0.649}},{N2O={kg=0.261}},{HFC134a={kg=0.402}},{N2O={kg=0.662}},{SF6={kg=0.139}},{HFC134a={kg=0.318}},{N2O={kg=0.432}},{CH4={kg=0.906}},{SF6={kg=0.142}},{SF6={kg=0.115}},ingredient mix W,plant Y,20018,30018,{kgCO2e=4.81},{kgCO2e=2.89},{kgCO2e=3.92}
products/20,peanuts,raw material,box,4.17,user,user utility,,GHG,{SF6={kg=0.149}},{N2O={kg=0.586}},{CO2={m3=0.667}},{N2O={kg=0.795}},{SF6={kg=0.132}},{CH4={kg=0.44}},{N2O={kg=0.345}},{N2O={kg=0.785}},{HFC134a={kg=0.205}},{HFC134a={kg=0.295}},{N2O={kg=0.56}},{HFC134a={kg=0.295}},{SF6={kg=0.046}},{CH4={kg=0.626}},{CH4={kg=0.84}},{HFC134a={kg=0.243}},{N2O={kg=0.165}},{CH4={kg=0.917}},{CH4={kg=0.23}},{N2O={kg=0.317}},{HFC134a={kg=0.226}},{CH4={kg=0.181}},{N2O={kg=0.086}},finished goods M,processing plant,20019,30019,{kgCO2e=2.99},{kgCO2e=1.23},{kgCO2e=0.78}
products/21,burrito,raw material,can,4.97,importer,processing plant,,GHG,{CO2={m3=0.762}},{CO2={m3=0.653}},{N2O={kg=0.134}},{CO2={m3=2.21}},{CO2={kg=0.91}},{CO2={m3=0.405}},{CO2={kg=2.443}},{SF6={kg=0.027}},{SF6={kg=0.079}},{CH4={kg=1.074}},{CO2={m3=1.45}},{N2O={kg=0.495}},{HFC134a={kg=0.089}},{SF6={kg=0.002}},{CH4={kg=1.223}},{N2O={kg=0.279}},{N2O={kg=0.633}},{SF6={kg=0.15}},{HFC134a={kg=0.299}},{HFC134a={kg=0.443}},{N2O={kg=0.381}},{N2O={kg=0.381}},{N2O={kg=0.18}},raw material lot B,distributor Z,20020,30020,{kgCO2e=2.74},{kgCO2e=1.21},{kgCO2e=1.74}
products/22,dates,ingredient,unit,1.22,warehouse,company B,,GHG,{CH4={kg=0.431}},{CH4={kg=0.409}},{CO2={m3=2.348}},{N2O={kg=0.516}},{N2O={kg=0.4}},{CO2={m3=0.605}},{CO2={m3=0.056}},{CO2={kg=1.838}},{SF6={kg=0.196}},{SF6={kg=0.158}},{SF6={kg=0.079}},{CH4={kg=0.891}},{SF6={kg=0.059}},{CH4={kg=0.233}},{HFC134a={kg=0.252}},{HFC134a={kg=0.133}},{CO2={kg=1.805}},{CO2={m3=1.037}},{HFC134a={kg=0.205}},{N2O={kg=0.009}},{CO2={kg=0.746}},{HFC134a={kg=0.477}},{CH4={kg=1.009}},ingredient mix A,factory X,20021,30021,{kgCO2e=1.64},{kgCO2e=0.1},{kgCO2e=2.39}
products/23,tortillas,waste,kg,2.07,importer,processing plant,,GHG,{N2O={kg=0.794}},{CH4={kg=1.464}},{CH4={kg=0.935}},{N2O={kg=0.689}},{SF6={kg=0.16}},{SF6={kg=0.037}},{CH4={kg=1.015}},{SF6={kg=0.18}},{SF6={kg=0.031}},{CH4={kg=1.175}},{HFC134a={kg=0.199}},{CH4={kg=1.322}},{N2O={kg=0.517}},{HFC134a={kg=0.06}},{HFC134a={kg=0.387}},{CO2={kg=2.783}},{N2O={kg=0.534}},{SF6={kg=0.094}},{SF6={kg=0.191}},{SF6={kg=0.042}},{CO2={m3=2.048}},{HFC134a={kg=0.201}},{N2O={kg=0.153}},raw material lot P,plant Y,20022,30022,{kgCO2e=4.92},{kgCO2e=2.94},{kgCO2e=3.65}
products/24,spring rolls,beverage,carton,1.51,distributor,warehouse operator,,GHG,{N2O={kg=0.525}},{N2O={kg=0.295}},{CO2={kg=0.901}},{HFC134a={kg=0.292}},{HFC134a={kg=0.391}},{HFC134a={kg=0.324}},{HFC134a={kg=0.465}},{N2O={kg=0.792}},{HFC134a={kg=0.318}},{CH4={kg=0.343}},{HFC134a={kg=0.204}},{N2O={kg=0.014}},{N2O={kg=0.415}},{CO2={m3=0.869}},{CO2={m3=1.554}},{CH4={kg=1.017}},{SF6={kg=0.034}},{HFC134a={kg=0.447}},{HFC134a={kg=0.208}},{HFC134a={kg=0.178}},{N2O={kg=0.116}},{SF6={kg=0.007}},{CO2={kg=0.106}},processed item L,supplier co,20023,30023,{kgCO2e=1.14},{kgCO2e=1.62},{kgCO2e=1.55}
products/25,goulash,condiment,batch,1.5,importer,warehouse operator,,GHG,{CH4={kg=0.378}},{HFC134a={kg=0.282}},{CH4={kg=0.919}},{N2O={kg=0.294}},{CH4={kg=0.926}},{CO2={m3=1.311}},{SF6={kg=0.046}},{HFC134a={kg=0.415}},{HFC134a={kg=0.397}},{CH4={kg=0.154}},{SF6={kg=0.122}},{CO2={kg=2.405}},{HFC134a={kg=0.408}},{SF6={kg=0.088}},{SF6={kg=0.073}},{CH4={kg=0.829}},{N2O={kg=0.273}},{CH4={kg=1.337}},{HFC134a={kg=0.011}},{N2O={kg=0.662}},{CO2={m3=2.203}},{HFC134a={kg=0.271}},{CO2={m3=2.022}},product batch C,distributor Z,20024,30024,{kgCO2e=0.38},{kgCO2e=2.37},{kgCO2e=1.84}
products/26,teriyaki,ingredient,kg,1.0,supplier,farm co,,GHG,{SF6={kg=0.159}},{CO2={kg=1.079}},{HFC134a={kg=0.177}},{CO2={kg=0.305}},{HFC134a={kg=0.359}},{CO2={m3=1.364}},{CO2={m3=0.767}},{SF6={kg=0.107}},{SF6={kg=0.184}},{SF6={kg=0.082}},{CO2={kg=1.957}},{SF6={kg=0.036}},{SF6={kg=0.051}},{N2O={kg=0.729}},{HFC134a={kg=0.085}},{CO2={m3=0.59}},{N2O={kg=0.133}},{CH4={kg=1.216}},{CH4={kg=0.214}},{N2O={kg=0.476}},{SF6={kg=0.16}},{CH4={kg=0.931}},{CH4={kg=0.301}},ingredient mix P,plant Y,20025,30025,{kgCO2e=2.39},{kgCO2e=0.72},{kgCO2e=0.24}
products/27,fried chicken,waste,m3,3.45,warehouse,processing plant,,GHG,{CO2={kg=0.115}},{HFC134a={kg=0.063}},{CO2={m3=1.39}},{CO2={kg=2.694}},{CH4={kg=1.404}},{CH4={kg=0.407}},{CO2={m3=0.973}},{HFC134a={kg=0.256}},{CH4={kg=0.279}},{N2O={kg=0.763}},{HFC134a={kg=0.416}},{N2O={kg=0.49}},{N2O={kg=0.634}},{N2O={kg=0.072}},{N2O={kg=0.49}},{N2O={kg=0.116}},{CO2={kg=1.98}},{N2O={kg=0.447}},{SF6={kg=0.129}},{HFC134a={kg=0.249}},{HFC134a={kg=0.187}},{CO2={m3=1.963}},{HFC134a={kg=0.147}},product batch N,plant Y,20026,30026,{kgCO2e=4.81},{kgCO2e=0.51},{kgCO2e=2.69}
products/28,spinach,raw material,batch,4.64,manufacturer,processing plant,,GHG,{CH4={kg=0.128}},{SF6={kg=0.083}},{CH4={kg=0.995}},{CH4={kg=1.085}},{CO2={kg=2.147}},{CO2={m3=2.776}},{CO2={kg=1.898}},{HFC134a={kg=0.344}},{HFC134a={kg=0.482}},{CH4={kg=0.643}},{CO2={kg=2.915}},{N2O={kg=0.125}},{CH4={kg=0.474}},{N2O={kg=0.292}},{HFC134a={kg=0.308}},{SF6={kg=0.011}},{HFC134a={kg=0.22}},{CO2={kg=2.208}},{HFC134a={kg=0.031}},{N2O={kg=0.72}},{CH4={kg=1.173}},{N2O={kg=0.4}},{CO2={m3=1.963}},finished goods M,plant Y,20027,30027,{kgCO2e=1.34},{kgCO2e=1.88},{kgCO2e=1.8}
products/29,chicken parmesan,raw material,kg,2.44,manufacturer,supplier co,,GHG,{HFC134a={kg=0.471}},{N2O={kg=0.018}},{CO2={kg=0.278}},{HFC134a={kg=0.263}},{N2O={kg=0.117}},{SF6={kg=0.068}},{CH4={kg=1.094}},{CH4={kg=0.571}},{CO2={m3=0.178}},{HFC134a={kg=0.2}},{CH4={kg=0.404}},{HFC134a={kg=0.428}},{N2O={kg=0.114}},{HFC134a={kg=0.374}},{SF6={kg=0.034}},{HFC134a={kg=0.261}},{CO2={kg=0.325}},{SF6={kg=0.132}},{SF6={kg=0.048}},{CO2={m3=2.173}},{N2O={kg=0.524}},{SF6={kg=0.007}},{HFC134a={kg=0.167}},product batch W,processing plant,20028,30028,{kgCO2e=3.16},{kgCO2e=2.09},{kgCO2e=0.66}
products/30,molasses,utility,bottle,2.77,distributor,farm co,,GHG,{SF6={kg=0.012}},{HFC134a={kg=0.496}},{CO2={kg=2.286}},{SF6={kg=0.115}},{HFC134a={kg=0.035}},{SF6={kg=0.163}},{SF6={kg=0.163}},{CH4={kg=0.644}},{CO2={m3=2.695}},{SF6={kg=0.101}},{SF6={kg=0.122}},{N2O={kg=0.026}},{CO2={m3=2.88}},{SF6={kg=0.047}},{CH4={kg=0.51}},{SF6={kg=0.025}},{CO2={m3=1.351}},{CO2={m3=2.26}},{HFC134a={kg=0.291}},{SF6={kg=0.144}},{CO2={kg=1.344}},{HFC134a={kg=0.094}},{CH4={kg=0.907}},ingredient mix K,factory X,20029,30029,{kgCO2e=0.27},{kgCO2e=1.56},{kgCO2e=0.52}
products/31,vindaloo,beverage,m3,3.71,importer,company A,,GHG,{SF6={kg=0.065}},{N2O={kg=0.631}},{CO2={kg=0.816}},{CH4={kg=0.173}},{N2O={kg=0.083}},{CH4={kg=1.481}},{N2O={kg=0.232}},{N2O={kg=0.574}},{CH4={kg=0.421}},{CO2={kg=2.45}},{CO2={m3=2.419}},{N2O={kg=0.172}},{N2O={kg=0.34}},{SF6={kg=0.16}},{SF6={kg=0.086}},{SF6={kg=0.122}},{HFC134a={kg=0.27}},{N2O={kg=0.374}},{CH4={kg=1.488}},{CO2={m3=2.732}},{SF6={kg=0.049}},{SF6={kg=0.194}},{N2O={kg=0.27}},processed item G,factory X,20030,30030,{kgCO2e=0.1},{kgCO2e=2.99},{kgCO2e=0.73}
products/32,chicken broth,condiment,box,1.0,manufacturer,warehouse operator,,GHG,{HFC134a={kg=0.384}},{SF6={kg=0.128}},{N2O={kg=0.555}},{CO2={kg=1.467}},{CH4={kg=1.013}},{SF6={kg=0.029}},{HFC134a={kg=0.157}},{SF6={kg=0.113}},{N2O={kg=0.541}},{CH4={kg=0.064}},{SF6={kg=0.037}},{N2O={kg=0.43}},{CO2={m3=1.682}},{HFC134a={kg=0.329}},{SF6={kg=0.086}},{N2O={kg=0.282}},{CO2={kg=2.497}},{SF6={kg=0.027}},{HFC134a={kg=0.255}},{CO2={kg=2.216}},{CH4={kg=1.014}},{SF6={kg=0.013}},{CH4={kg=0.632}},processed item X,plant Y,20031,30031,{kgCO2e=0.57},{kgCO2e=2.88},{kgCO2e=0.84}
products/33,salad,dish,carton,0.31,local farm,company B,,GHG,{CH4={kg=0.788}},{CO2={kg=2.073}},{SF6={kg=0.111}},{CO2={kg=2.422}},{HFC134a={kg=0.451}},{CH4={kg=1.07}},{HFC134a={kg=0.067}},{N2O={kg=0.7}},{CH4={kg=0.939}},{CH4={kg=0.602}},{N2O={kg=0.403}},{SF6={kg=0.135}},{SF6={kg=0.169}},{N2O={kg=0.24}},{HFC134a={kg=0.382}},{SF6={kg=0.042}},{SF6={kg=0.173}},{CO2={m3=1.691}},{N2O={kg=0.597}},{SF6={kg=0.106}},{HFC134a={kg=0.391}},{CO2={m3=1.057}},{CH4={kg=0.013}},ingredient mix I,processing plant,20032,30032,{kgCO2e=1.92},{kgCO2e=1.54},{kgCO2e=2.74}
